Word,Count
the,311
*,282
=,190
if,183
to,132
is,122
},118
stage,111
button,110
{,109
,102
FXML,93
//,92
selected,91
in,90
root,87
up,83
load,81
OTHER,80
document,80
import,76
new,75
a,70
and,68
database,66
of,61
guest,56
private,56
reservation,49
get,46
reference,44
integer,44
room,44
@FXML,44
button's,44
for,41
set,41
number,39
(Stage),38
else,36
not,35
id,35
employee,34
class,34
amenity,33
scene,33
an,32
that,31
with,30
handles,29
create,29
@pre:,28
The,28
all,28
@post:,26
empty,25
hotel,25
public,24
information,23
void,23
Alert,22
functionalities,21
string,21
Method,20
exit,19
@return,19
==,19
application,19
events,18
confirmation,18
from,18
||,18
String,18
rooms,18
\FXMLLoader.load(HRMS.class.getResource("\View/ContactInfoView.fxml"\));\,18
price,17
be,17
Button,17
(event.getSource(),17
action,17
@param,17
Function,17
or,16
@post,16
*/,16
name,16
add,16
@pre,16
textfield,16
when,16
@author,16
on,16
Optional<ButtonType>,16
will,16
a.showAndWait();,16
result,16
\Alert(Alert.AlertType.ERROR,\,16
ButtonType.OK);,16
agonzalez26,15
variables,15
return,14
this,14
exist,14
password,14
Controller,13
method,13
TextField,13
does,13
HomeView,13
reservations,13
Initializes,13
controller,13
are,13
alert,12
manager,12
try,12
checks,12
must,12
at,12
called,12
into,11
login,11
/*,11
returns,11
&&,11
only,11
before,11
we,10
IOException,10
throws,10
input,10
exists,10
update,10
TODO,10
Room,10
data,9
field,9
null;,9
back,9
address,9
has,9
true,9
change,9
Guest,9
value,9
next,9
cancel,9
\FXMLLoader.load(HRMS.class.getResource("\View/DayView.fxml"\));\,9
error,9
first,9
@Override,8
stage.show();,8
stage.setScene(scene);,8
object,8
check,8
handle,8
Scene(root);,8
constructor,8
Scene,8
staying,8
false,8
have,8
catch,8
EmptyError();,8
+,8
delete,8
EmployeeReservationView,8
\FXMLLoader.load(HRMS.class.getResource("\View/ManagerViewAmenity.fxml"\));\,7
description,7
Amenity,7
parse,7
count,7
*returns,7
Operator,7
current,7
their,7
Updates,7
roomButton.getScene().getWindow();,7
currently,7
updated,7
catches,6
there,6
\display,\,6
click,6
main,6
creates,6
checked,6
window,6
one,6
\textfield,\,6
setting,6
\accessible,\,6
logout,6
int,6
inputs,6
startup,6
//validation,6
calls,6
returning,6
/**,6
email,6
\FXMLLoader.load(HRMS.class.getResource("\View/EmployeeReservation.fxml"\));\,6
ok,6
amenities,6
phone,6
display,6
last,6
choose,6
(String),6
To,6
template,6
null,5
by,5
filled,5
\empty"\,\,5
it,5
do,5
missing,5
roomAmenitiesList,5
correct,5
}else,5
can,5
(int),5
nextButton.getScene().getWindow();,5
values,5
EmployeeLoginView,5
\FXMLLoader.load(HRMS.class.getResource("\View/HomeView.fxml"\));\,5
added,5
use,5
date,5
guests,5
e),5
any,5
needs,5
methods,5
ResourceBundle,4
day,4
};,4
RoomView,4
javafx.scene.Parent;,4
initialize(URL,4
javafx.fxml.FXMLLoader;,4
bill,4
how,4
Parent,4
javafx.scene.Scene;,4
Initializable,4
IDs,4
\System.out.println("\\nError\,4
rb),4
available,4
format,4
javafx.fxml.Initializable;,4
package,4
hrms.HRMS;,4
output,4
javafx.fxml.FXML;,4
\textfields,\,4
gui,4
\System.out.println("\Amenity\,4
retrieve,4
\Callback<DatePicker,\,4
}catch(Exception,4
setup,4
javafx.scene.control.Button;,4
javafx.event.ActionEvent;,4
System.exit(0);,4
handleButtonAction(ActionEvent,4
hrms.Controller;,4
whether,4
after,4
\"\Address\,4
dates,4
>,4
\gui,\,4
e.getMessage());,4
hotel*/,4
}else{,4
depends,4
choice,4
list,4
Number,4
java.io.IOException;,4
Stage,4
event),4
java.util.ResourceBundle;,4
Reservation,4
ConfirmationError,4
javafx.scene.layout.AnchorPane;,4
\url,\,4
implements,4
DatePicker,4
employeeId,4
Name,4
\FXMLLoader.load(HRMS.class.getResource("\View/ManagerViewEmployee.fxml"\));\,4
javafx.stage.Stage;,4
\reservation,\,4
});,4
java.net.URL;,4
box,4
see,4
roomCount,3
tests,3
message,3
|,3
system,3
ContactInfoViewController,3
matched,3
true;,3
dayCount,3
description.isEmpty()){,3
\valid"\,\,3
A,3
Templates,3
used,3
edit,3
\file,\,3
extra,3
EmployeeReservationController,3
attached,3
DayViewController,3
AnchorPane,3
out,3
!description.isEmpty()){,3
\FXMLLoader.load(HRMS.class.getResource("\View/ManagerViewPrice.fxml"\));\,3
1,3
Confirmation,3
search,3
open,3
long,3
\System.out.println("\Showing\,3
through,3
if(name.isEmpty(),3
standing,3
->{,3
EmployeeViewController,3
Variables,3
+=,3
searchButton.getScene().getWindow();,3
Tools,3
javafx.scene.control.TextField;,3
/*list,3
Headers,3
its,3
income,3
session,3
roomString,3
editor,3
then,3
assigned,3
checkout,3
cancelButton.getScene().getWindow();,3
price.isEmpty(),3
EmployeeView,3
which,3
roomList,3
\header,\,3
updates,3
Properties,3
deleteButton.getScene().getWindow();,3
but,3
Project,3
contains,3
boolean,3
!price.isEmpty(),3
License,3
call,3
if(!name.isEmpty(),3
license,3
filling,3
db,2
ArrayList<Room>,2
addButton.getScene().getWindow();,2
nextButton;,2
separate,2
DateCell>(),2
needed,2
logOutButton),2
cancelButton;,2
Thou,2
amount,2
Deletes,2
textfields,2
DayView,2
empty);,2
\password,\,2
\format"\,\,2
>=0,2
logInButton;,2
chosen,2
changed,2
