File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\DBTest.java,36,27,25,0,7,0,2,20,0,0
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\HRMS.java,45,24,20,0,9,0,12,46,5,31
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\AmenityViewController.java,233,175,135,10,31,0,27,91,3,11
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\CheckOutViewController.java,79,52,37,1,7,3,20,75,3,11
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\ConfirmationViewController.java,168,129,97,4,17,5,22,92,3,10
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\ContactInfoViewController.java,529,209,162,40,41,4,279,917,247,788
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\DayViewController.java,463,187,146,14,33,4,243,651,205,514
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\EmployeeLoginViewController.java,183,100,74,6,21,5,62,321,3,9
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\EmployeeReservationController.java,378,131,103,5,33,0,214,694,3,8
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\EmployeeViewController.java,229,90,74,2,19,0,120,331,3,9
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\GuestViewController.java,132,88,65,1,14,4,30,124,3,8
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\HomeViewController.java,296,189,159,6,34,9,73,361,3,8
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\ManagerViewAmenityController.java,302,180,145,2,36,0,86,291,3,7
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\ManagerViewController.java,101,68,48,1,11,0,22,91,2,8
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\ManagerViewEmployeeController.java,286,158,123,4,30,0,98,441,3,8
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\ManagerViewPriceController.java,304,163,127,4,44,0,97,328,3,8
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\RoomSelectionViewController.java,225,188,149,7,14,4,23,117,5,31
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Controller\RoomViewController.java,155,102,79,1,16,0,37,130,3,8
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Model\Amenity.java,68,50,40,4,10,6,8,91,1,18
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Model\Application.java,320,239,177,41,59,1,22,75,5,31
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Model\Database.java,570,493,389,51,9,18,68,440,0,0
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Model\Employee.java,76,67,51,8,5,4,4,52,0,0
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Model\Guest.java,252,209,157,38,16,13,27,291,3,35
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Model\Manager.java,70,21,17,2,17,3,32,205,0,0
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Model\ModelControl.java,670,616,441,180,4,5,50,404,4,58
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Model\Operator.java,96,27,23,3,19,3,50,316,0,0
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Model\Reservation.java,221,202,152,38,10,10,9,168,0,0
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\Model\Room.java,305,265,198,40,15,8,25,209,1,12
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\View\AmenityView.fxml,72,68,0,0,4,0,0,0,0,0
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\View\CheckOutView.fxml,61,57,0,0,4,0,0,0,0,0
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\View\ConfirmationView.fxml,131,127,0,0,4,0,0,0,0,0
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\View\ContactInfoView.fxml,286,281,0,0,5,0,0,0,0,0
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\View\DayView.fxml,74,70,0,0,4,0,0,0,0,0
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\View\EmployeeLoginView.fxml,91,87,0,0,4,0,0,0,0,0
C:\Users\vpatel52\Documents\NetBeansProjects\HRMS-gh-pages\src\hrms\View\EmployeeReservation.fxml,85,82,0,0,3,0,0,0,0,0
